scans/scene0191_00/depth scans/scene0191_00/color scans/scene0191_00/label-filt scans/scene0191_00/pose scans/scene0191_00/intrinsic
scans/scene0569_00/depth scans/scene0569_00/color scans/scene0569_00/label-filt scans/scene0569_00/pose scans/scene0569_00/intrinsic
scans/scene0413_00/depth scans/scene0413_00/color scans/scene0413_00/label-filt scans/scene0413_00/pose scans/scene0413_00/intrinsic
scans/scene0313_00/depth scans/scene0313_00/color scans/scene0313_00/label-filt scans/scene0313_00/pose scans/scene0313_00/intrinsic
scans/scene0480_00/depth scans/scene0480_00/color scans/scene0480_00/label-filt scans/scene0480_00/pose scans/scene0480_00/intrinsic
scans/scene0401_00/depth scans/scene0401_00/color scans/scene0401_00/label-filt scans/scene0401_00/pose scans/scene0401_00/intrinsic
scans/scene0517_00/depth scans/scene0517_00/color scans/scene0517_00/label-filt scans/scene0517_00/pose scans/scene0517_00/intrinsic
scans/scene0032_00/depth scans/scene0032_00/color scans/scene0032_00/label-filt scans/scene0032_00/pose scans/scene0032_00/intrinsic
scans/scene0613_00/depth scans/scene0613_00/color scans/scene0613_00/label-filt scans/scene0613_00/pose scans/scene0613_00/intrinsic
scans/scene0306_00/depth scans/scene0306_00/color scans/scene0306_00/label-filt scans/scene0306_00/pose scans/scene0306_00/intrinsic
scans/scene0052_00/depth scans/scene0052_00/color scans/scene0052_00/label-filt scans/scene0052_00/pose scans/scene0052_00/intrinsic
scans/scene0053_00/depth scans/scene0053_00/color scans/scene0053_00/label-filt scans/scene0053_00/pose scans/scene0053_00/intrinsic
scans/scene0444_00/depth scans/scene0444_00/color scans/scene0444_00/label-filt scans/scene0444_00/pose scans/scene0444_00/intrinsic
scans/scene0055_00/depth scans/scene0055_00/color scans/scene0055_00/label-filt scans/scene0055_00/pose scans/scene0055_00/intrinsic
scans/scene0560_00/depth scans/scene0560_00/color scans/scene0560_00/label-filt scans/scene0560_00/pose scans/scene0560_00/intrinsic
scans/scene0589_00/depth scans/scene0589_00/color scans/scene0589_00/label-filt scans/scene0589_00/pose scans/scene0589_00/intrinsic
scans/scene0610_00/depth scans/scene0610_00/color scans/scene0610_00/label-filt scans/scene0610_00/pose scans/scene0610_00/intrinsic
scans/scene0364_00/depth scans/scene0364_00/color scans/scene0364_00/label-filt scans/scene0364_00/pose scans/scene0364_00/intrinsic
scans/scene0383_00/depth scans/scene0383_00/color scans/scene0383_00/label-filt scans/scene0383_00/pose scans/scene0383_00/intrinsic
scans/scene0006_00/depth scans/scene0006_00/color scans/scene0006_00/label-filt scans/scene0006_00/pose scans/scene0006_00/intrinsic
scans/scene0275_00/depth scans/scene0275_00/color scans/scene0275_00/label-filt scans/scene0275_00/pose scans/scene0275_00/intrinsic
scans/scene0451_00/depth scans/scene0451_00/color scans/scene0451_00/label-filt scans/scene0451_00/pose scans/scene0451_00/intrinsic
scans/scene0135_00/depth scans/scene0135_00/color scans/scene0135_00/label-filt scans/scene0135_00/pose scans/scene0135_00/intrinsic
scans/scene0065_00/depth scans/scene0065_00/color scans/scene0065_00/label-filt scans/scene0065_00/pose scans/scene0065_00/intrinsic
scans/scene0104_00/depth scans/scene0104_00/color scans/scene0104_00/label-filt scans/scene0104_00/pose scans/scene0104_00/intrinsic
scans/scene0674_00/depth scans/scene0674_00/color scans/scene0674_00/label-filt scans/scene0674_00/pose scans/scene0674_00/intrinsic
scans/scene0448_00/depth scans/scene0448_00/color scans/scene0448_00/label-filt scans/scene0448_00/pose scans/scene0448_00/intrinsic
scans/scene0502_00/depth scans/scene0502_00/color scans/scene0502_00/label-filt scans/scene0502_00/pose scans/scene0502_00/intrinsic
scans/scene0440_00/depth scans/scene0440_00/color scans/scene0440_00/label-filt scans/scene0440_00/pose scans/scene0440_00/intrinsic
scans/scene0071_00/depth scans/scene0071_00/color scans/scene0071_00/label-filt scans/scene0071_00/pose scans/scene0071_00/intrinsic
scans/scene0072_00/depth scans/scene0072_00/color scans/scene0072_00/label-filt scans/scene0072_00/pose scans/scene0072_00/intrinsic
scans/scene0509_00/depth scans/scene0509_00/color scans/scene0509_00/label-filt scans/scene0509_00/pose scans/scene0509_00/intrinsic
scans/scene0649_00/depth scans/scene0649_00/color scans/scene0649_00/label-filt scans/scene0649_00/pose scans/scene0649_00/intrinsic
scans/scene0602_00/depth scans/scene0602_00/color scans/scene0602_00/label-filt scans/scene0602_00/pose scans/scene0602_00/intrinsic
scans/scene0694_00/depth scans/scene0694_00/color scans/scene0694_00/label-filt scans/scene0694_00/pose scans/scene0694_00/intrinsic
scans/scene0101_00/depth scans/scene0101_00/color scans/scene0101_00/label-filt scans/scene0101_00/pose scans/scene0101_00/intrinsic
scans/scene0218_00/depth scans/scene0218_00/color scans/scene0218_00/label-filt scans/scene0218_00/pose scans/scene0218_00/intrinsic
scans/scene0579_00/depth scans/scene0579_00/color scans/scene0579_00/label-filt scans/scene0579_00/pose scans/scene0579_00/intrinsic
scans/scene0039_00/depth scans/scene0039_00/color scans/scene0039_00/label-filt scans/scene0039_00/pose scans/scene0039_00/intrinsic
scans/scene0493_00/depth scans/scene0493_00/color scans/scene0493_00/label-filt scans/scene0493_00/pose scans/scene0493_00/intrinsic
scans/scene0242_00/depth scans/scene0242_00/color scans/scene0242_00/label-filt scans/scene0242_00/pose scans/scene0242_00/intrinsic
scans/scene0083_00/depth scans/scene0083_00/color scans/scene0083_00/label-filt scans/scene0083_00/pose scans/scene0083_00/intrinsic
scans/scene0127_00/depth scans/scene0127_00/color scans/scene0127_00/label-filt scans/scene0127_00/pose scans/scene0127_00/intrinsic
scans/scene0662_00/depth scans/scene0662_00/color scans/scene0662_00/label-filt scans/scene0662_00/pose scans/scene0662_00/intrinsic
scans/scene0018_00/depth scans/scene0018_00/color scans/scene0018_00/label-filt scans/scene0018_00/pose scans/scene0018_00/intrinsic
scans/scene0087_00/depth scans/scene0087_00/color scans/scene0087_00/label-filt scans/scene0087_00/pose scans/scene0087_00/intrinsic
scans/scene0332_00/depth scans/scene0332_00/color scans/scene0332_00/label-filt scans/scene0332_00/pose scans/scene0332_00/intrinsic
scans/scene0628_00/depth scans/scene0628_00/color scans/scene0628_00/label-filt scans/scene0628_00/pose scans/scene0628_00/intrinsic
scans/scene0134_00/depth scans/scene0134_00/color scans/scene0134_00/label-filt scans/scene0134_00/pose scans/scene0134_00/intrinsic
scans/scene0238_00/depth scans/scene0238_00/color scans/scene0238_00/label-filt scans/scene0238_00/pose scans/scene0238_00/intrinsic
scans/scene0092_00/depth scans/scene0092_00/color scans/scene0092_00/label-filt scans/scene0092_00/pose scans/scene0092_00/intrinsic
scans/scene0022_00/depth scans/scene0022_00/color scans/scene0022_00/label-filt scans/scene0022_00/pose scans/scene0022_00/intrinsic
scans/scene0467_00/depth scans/scene0467_00/color scans/scene0467_00/label-filt scans/scene0467_00/pose scans/scene0467_00/intrinsic
scans/scene0392_00/depth scans/scene0392_00/color scans/scene0392_00/label-filt scans/scene0392_00/pose scans/scene0392_00/intrinsic
scans/scene0424_00/depth scans/scene0424_00/color scans/scene0424_00/label-filt scans/scene0424_00/pose scans/scene0424_00/intrinsic
scans/scene0646_00/depth scans/scene0646_00/color scans/scene0646_00/label-filt scans/scene0646_00/pose scans/scene0646_00/intrinsic
scans/scene0098_00/depth scans/scene0098_00/color scans/scene0098_00/label-filt scans/scene0098_00/pose scans/scene0098_00/intrinsic
scans/scene0044_00/depth scans/scene0044_00/color scans/scene0044_00/label-filt scans/scene0044_00/pose scans/scene0044_00/intrinsic
scans/scene0510_00/depth scans/scene0510_00/color scans/scene0510_00/label-filt scans/scene0510_00/pose scans/scene0510_00/intrinsic
scans/scene0571_00/depth scans/scene0571_00/color scans/scene0571_00/label-filt scans/scene0571_00/pose scans/scene0571_00/intrinsic
scans/scene0166_00/depth scans/scene0166_00/color scans/scene0166_00/label-filt scans/scene0166_00/pose scans/scene0166_00/intrinsic
scans/scene0563_00/depth scans/scene0563_00/color scans/scene0563_00/label-filt scans/scene0563_00/pose scans/scene0563_00/intrinsic
scans/scene0172_00/depth scans/scene0172_00/color scans/scene0172_00/label-filt scans/scene0172_00/pose scans/scene0172_00/intrinsic
scans/scene0388_00/depth scans/scene0388_00/color scans/scene0388_00/label-filt scans/scene0388_00/pose scans/scene0388_00/intrinsic
scans/scene0215_00/depth scans/scene0215_00/color scans/scene0215_00/label-filt scans/scene0215_00/pose scans/scene0215_00/intrinsic
scans/scene0252_00/depth scans/scene0252_00/color scans/scene0252_00/label-filt scans/scene0252_00/pose scans/scene0252_00/intrinsic
scans/scene0287_00/depth scans/scene0287_00/color scans/scene0287_00/label-filt scans/scene0287_00/pose scans/scene0287_00/intrinsic
scans/scene0668_00/depth scans/scene0668_00/color scans/scene0668_00/label-filt scans/scene0668_00/pose scans/scene0668_00/intrinsic
scans/scene0572_00/depth scans/scene0572_00/color scans/scene0572_00/label-filt scans/scene0572_00/pose scans/scene0572_00/intrinsic
scans/scene0026_00/depth scans/scene0026_00/color scans/scene0026_00/label-filt scans/scene0026_00/pose scans/scene0026_00/intrinsic
scans/scene0224_00/depth scans/scene0224_00/color scans/scene0224_00/label-filt scans/scene0224_00/pose scans/scene0224_00/intrinsic
scans/scene0113_00/depth scans/scene0113_00/color scans/scene0113_00/label-filt scans/scene0113_00/pose scans/scene0113_00/intrinsic
scans/scene0551_00/depth scans/scene0551_00/color scans/scene0551_00/label-filt scans/scene0551_00/pose scans/scene0551_00/intrinsic
scans/scene0381_00/depth scans/scene0381_00/color scans/scene0381_00/label-filt scans/scene0381_00/pose scans/scene0381_00/intrinsic
scans/scene0371_00/depth scans/scene0371_00/color scans/scene0371_00/label-filt scans/scene0371_00/pose scans/scene0371_00/intrinsic
scans/scene0460_00/depth scans/scene0460_00/color scans/scene0460_00/label-filt scans/scene0460_00/pose scans/scene0460_00/intrinsic
scans/scene0118_00/depth scans/scene0118_00/color scans/scene0118_00/label-filt scans/scene0118_00/pose scans/scene0118_00/intrinsic
scans/scene0417_00/depth scans/scene0417_00/color scans/scene0417_00/label-filt scans/scene0417_00/pose scans/scene0417_00/intrinsic
scans/scene0008_00/depth scans/scene0008_00/color scans/scene0008_00/label-filt scans/scene0008_00/pose scans/scene0008_00/intrinsic
scans/scene0634_00/depth scans/scene0634_00/color scans/scene0634_00/label-filt scans/scene0634_00/pose scans/scene0634_00/intrinsic
scans/scene0521_00/depth scans/scene0521_00/color scans/scene0521_00/label-filt scans/scene0521_00/pose scans/scene0521_00/intrinsic
scans/scene0123_00/depth scans/scene0123_00/color scans/scene0123_00/label-filt scans/scene0123_00/pose scans/scene0123_00/intrinsic
scans/scene0045_00/depth scans/scene0045_00/color scans/scene0045_00/label-filt scans/scene0045_00/pose scans/scene0045_00/intrinsic
scans/scene0511_00/depth scans/scene0511_00/color scans/scene0511_00/label-filt scans/scene0511_00/pose scans/scene0511_00/intrinsic
scans/scene0114_00/depth scans/scene0114_00/color scans/scene0114_00/label-filt scans/scene0114_00/pose scans/scene0114_00/intrinsic
scans/scene0070_00/depth scans/scene0070_00/color scans/scene0070_00/label-filt scans/scene0070_00/pose scans/scene0070_00/intrinsic
scans/scene0029_00/depth scans/scene0029_00/color scans/scene0029_00/label-filt scans/scene0029_00/pose scans/scene0029_00/intrinsic
scans/scene0129_00/depth scans/scene0129_00/color scans/scene0129_00/label-filt scans/scene0129_00/pose scans/scene0129_00/intrinsic
scans/scene0103_00/depth scans/scene0103_00/color scans/scene0103_00/label-filt scans/scene0103_00/pose scans/scene0103_00/intrinsic
scans/scene0002_00/depth scans/scene0002_00/color scans/scene0002_00/label-filt scans/scene0002_00/pose scans/scene0002_00/intrinsic
scans/scene0132_00/depth scans/scene0132_00/color scans/scene0132_00/label-filt scans/scene0132_00/pose scans/scene0132_00/intrinsic
scans/scene0124_00/depth scans/scene0124_00/color scans/scene0124_00/label-filt scans/scene0124_00/pose scans/scene0124_00/intrinsic
scans/scene0143_00/depth scans/scene0143_00/color scans/scene0143_00/label-filt scans/scene0143_00/pose scans/scene0143_00/intrinsic
scans/scene0604_00/depth scans/scene0604_00/color scans/scene0604_00/label-filt scans/scene0604_00/pose scans/scene0604_00/intrinsic
scans/scene0507_00/depth scans/scene0507_00/color scans/scene0507_00/label-filt scans/scene0507_00/pose scans/scene0507_00/intrinsic
scans/scene0105_00/depth scans/scene0105_00/color scans/scene0105_00/label-filt scans/scene0105_00/pose scans/scene0105_00/intrinsic
scans/scene0428_00/depth scans/scene0428_00/color scans/scene0428_00/label-filt scans/scene0428_00/pose scans/scene0428_00/intrinsic
scans/scene0311_00/depth scans/scene0311_00/color scans/scene0311_00/label-filt scans/scene0311_00/pose scans/scene0311_00/intrinsic
scans/scene0140_00/depth scans/scene0140_00/color scans/scene0140_00/label-filt scans/scene0140_00/pose scans/scene0140_00/intrinsic
scans/scene0182_00/depth scans/scene0182_00/color scans/scene0182_00/label-filt scans/scene0182_00/pose scans/scene0182_00/intrinsic
scans/scene0142_00/depth scans/scene0142_00/color scans/scene0142_00/label-filt scans/scene0142_00/pose scans/scene0142_00/intrinsic
scans/scene0399_00/depth scans/scene0399_00/color scans/scene0399_00/label-filt scans/scene0399_00/pose scans/scene0399_00/intrinsic
scans/scene0012_00/depth scans/scene0012_00/color scans/scene0012_00/label-filt scans/scene0012_00/pose scans/scene0012_00/intrinsic
scans/scene0060_00/depth scans/scene0060_00/color scans/scene0060_00/label-filt scans/scene0060_00/pose scans/scene0060_00/intrinsic
scans/scene0370_00/depth scans/scene0370_00/color scans/scene0370_00/label-filt scans/scene0370_00/pose scans/scene0370_00/intrinsic
scans/scene0310_00/depth scans/scene0310_00/color scans/scene0310_00/label-filt scans/scene0310_00/pose scans/scene0310_00/intrinsic
scans/scene0661_00/depth scans/scene0661_00/color scans/scene0661_00/label-filt scans/scene0661_00/pose scans/scene0661_00/intrinsic
scans/scene0650_00/depth scans/scene0650_00/color scans/scene0650_00/label-filt scans/scene0650_00/pose scans/scene0650_00/intrinsic
scans/scene0152_00/depth scans/scene0152_00/color scans/scene0152_00/label-filt scans/scene0152_00/pose scans/scene0152_00/intrinsic
scans/scene0158_00/depth scans/scene0158_00/color scans/scene0158_00/label-filt scans/scene0158_00/pose scans/scene0158_00/intrinsic
scans/scene0482_00/depth scans/scene0482_00/color scans/scene0482_00/label-filt scans/scene0482_00/pose scans/scene0482_00/intrinsic
scans/scene0600_00/depth scans/scene0600_00/color scans/scene0600_00/label-filt scans/scene0600_00/pose scans/scene0600_00/intrinsic
scans/scene0393_00/depth scans/scene0393_00/color scans/scene0393_00/label-filt scans/scene0393_00/pose scans/scene0393_00/intrinsic
scans/scene0562_00/depth scans/scene0562_00/color scans/scene0562_00/label-filt scans/scene0562_00/pose scans/scene0562_00/intrinsic
scans/scene0174_00/depth scans/scene0174_00/color scans/scene0174_00/label-filt scans/scene0174_00/pose scans/scene0174_00/intrinsic
scans/scene0157_00/depth scans/scene0157_00/color scans/scene0157_00/label-filt scans/scene0157_00/pose scans/scene0157_00/intrinsic
scans/scene0161_00/depth scans/scene0161_00/color scans/scene0161_00/label-filt scans/scene0161_00/pose scans/scene0161_00/intrinsic
scans/scene0159_00/depth scans/scene0159_00/color scans/scene0159_00/label-filt scans/scene0159_00/pose scans/scene0159_00/intrinsic
scans/scene0254_00/depth scans/scene0254_00/color scans/scene0254_00/label-filt scans/scene0254_00/pose scans/scene0254_00/intrinsic
scans/scene0115_00/depth scans/scene0115_00/color scans/scene0115_00/label-filt scans/scene0115_00/pose scans/scene0115_00/intrinsic
scans/scene0162_00/depth scans/scene0162_00/color scans/scene0162_00/label-filt scans/scene0162_00/pose scans/scene0162_00/intrinsic
scans/scene0163_00/depth scans/scene0163_00/color scans/scene0163_00/label-filt scans/scene0163_00/pose scans/scene0163_00/intrinsic
scans/scene0523_00/depth scans/scene0523_00/color scans/scene0523_00/label-filt scans/scene0523_00/pose scans/scene0523_00/intrinsic
scans/scene0459_00/depth scans/scene0459_00/color scans/scene0459_00/label-filt scans/scene0459_00/pose scans/scene0459_00/intrinsic
scans/scene0175_00/depth scans/scene0175_00/color scans/scene0175_00/label-filt scans/scene0175_00/pose scans/scene0175_00/intrinsic
scans/scene0085_00/depth scans/scene0085_00/color scans/scene0085_00/label-filt scans/scene0085_00/pose scans/scene0085_00/intrinsic
scans/scene0279_00/depth scans/scene0279_00/color scans/scene0279_00/label-filt scans/scene0279_00/pose scans/scene0279_00/intrinsic
scans/scene0201_00/depth scans/scene0201_00/color scans/scene0201_00/label-filt scans/scene0201_00/pose scans/scene0201_00/intrinsic
scans/scene0283_00/depth scans/scene0283_00/color scans/scene0283_00/label-filt scans/scene0283_00/pose scans/scene0283_00/intrinsic
scans/scene0456_00/depth scans/scene0456_00/color scans/scene0456_00/label-filt scans/scene0456_00/pose scans/scene0456_00/intrinsic
scans/scene0429_00/depth scans/scene0429_00/color scans/scene0429_00/label-filt scans/scene0429_00/pose scans/scene0429_00/intrinsic
scans/scene0043_00/depth scans/scene0043_00/color scans/scene0043_00/label-filt scans/scene0043_00/pose scans/scene0043_00/intrinsic
scans/scene0419_00/depth scans/scene0419_00/color scans/scene0419_00/label-filt scans/scene0419_00/pose scans/scene0419_00/intrinsic
scans/scene0368_00/depth scans/scene0368_00/color scans/scene0368_00/label-filt scans/scene0368_00/pose scans/scene0368_00/intrinsic
scans/scene0348_00/depth scans/scene0348_00/color scans/scene0348_00/label-filt scans/scene0348_00/pose scans/scene0348_00/intrinsic
scans/scene0442_00/depth scans/scene0442_00/color scans/scene0442_00/label-filt scans/scene0442_00/pose scans/scene0442_00/intrinsic
scans/scene0178_00/depth scans/scene0178_00/color scans/scene0178_00/label-filt scans/scene0178_00/pose scans/scene0178_00/intrinsic
scans/scene0380_00/depth scans/scene0380_00/color scans/scene0380_00/label-filt scans/scene0380_00/pose scans/scene0380_00/intrinsic
scans/scene0165_00/depth scans/scene0165_00/color scans/scene0165_00/label-filt scans/scene0165_00/pose scans/scene0165_00/intrinsic
scans/scene0181_00/depth scans/scene0181_00/color scans/scene0181_00/label-filt scans/scene0181_00/pose scans/scene0181_00/intrinsic
scans/scene0333_00/depth scans/scene0333_00/color scans/scene0333_00/label-filt scans/scene0333_00/pose scans/scene0333_00/intrinsic
scans/scene0614_00/depth scans/scene0614_00/color scans/scene0614_00/label-filt scans/scene0614_00/pose scans/scene0614_00/intrinsic
scans/scene0404_00/depth scans/scene0404_00/color scans/scene0404_00/label-filt scans/scene0404_00/pose scans/scene0404_00/intrinsic
scans/scene0185_00/depth scans/scene0185_00/color scans/scene0185_00/label-filt scans/scene0185_00/pose scans/scene0185_00/intrinsic
scans/scene0126_00/depth scans/scene0126_00/color scans/scene0126_00/label-filt scans/scene0126_00/pose scans/scene0126_00/intrinsic
scans/scene0519_00/depth scans/scene0519_00/color scans/scene0519_00/label-filt scans/scene0519_00/pose scans/scene0519_00/intrinsic
scans/scene0236_00/depth scans/scene0236_00/color scans/scene0236_00/label-filt scans/scene0236_00/pose scans/scene0236_00/intrinsic
scans/scene0189_00/depth scans/scene0189_00/color scans/scene0189_00/label-filt scans/scene0189_00/pose scans/scene0189_00/intrinsic
scans/scene0075_00/depth scans/scene0075_00/color scans/scene0075_00/label-filt scans/scene0075_00/pose scans/scene0075_00/intrinsic
scans/scene0267_00/depth scans/scene0267_00/color scans/scene0267_00/label-filt scans/scene0267_00/pose scans/scene0267_00/intrinsic
scans/scene0192_00/depth scans/scene0192_00/color scans/scene0192_00/label-filt scans/scene0192_00/pose scans/scene0192_00/intrinsic
scans/scene0281_00/depth scans/scene0281_00/color scans/scene0281_00/label-filt scans/scene0281_00/pose scans/scene0281_00/intrinsic
scans/scene0420_00/depth scans/scene0420_00/color scans/scene0420_00/label-filt scans/scene0420_00/pose scans/scene0420_00/intrinsic
scans/scene0195_00/depth scans/scene0195_00/color scans/scene0195_00/label-filt scans/scene0195_00/pose scans/scene0195_00/intrinsic
scans/scene0597_00/depth scans/scene0597_00/color scans/scene0597_00/label-filt scans/scene0597_00/pose scans/scene0597_00/intrinsic
scans/scene0041_00/depth scans/scene0041_00/color scans/scene0041_00/label-filt scans/scene0041_00/pose scans/scene0041_00/intrinsic
scans/scene0111_00/depth scans/scene0111_00/color scans/scene0111_00/label-filt scans/scene0111_00/pose scans/scene0111_00/intrinsic
scans/scene0666_00/depth scans/scene0666_00/color scans/scene0666_00/label-filt scans/scene0666_00/pose scans/scene0666_00/intrinsic
scans/scene0200_00/depth scans/scene0200_00/color scans/scene0200_00/label-filt scans/scene0200_00/pose scans/scene0200_00/intrinsic
scans/scene0536_00/depth scans/scene0536_00/color scans/scene0536_00/label-filt scans/scene0536_00/pose scans/scene0536_00/intrinsic
scans/scene0390_00/depth scans/scene0390_00/color scans/scene0390_00/label-filt scans/scene0390_00/pose scans/scene0390_00/intrinsic
scans/scene0280_00/depth scans/scene0280_00/color scans/scene0280_00/label-filt scans/scene0280_00/pose scans/scene0280_00/intrinsic
scans/scene0344_00/depth scans/scene0344_00/color scans/scene0344_00/label-filt scans/scene0344_00/pose scans/scene0344_00/intrinsic
scans/scene0205_00/depth scans/scene0205_00/color scans/scene0205_00/label-filt scans/scene0205_00/pose scans/scene0205_00/intrinsic
scans/scene0484_00/depth scans/scene0484_00/color scans/scene0484_00/label-filt scans/scene0484_00/pose scans/scene0484_00/intrinsic
scans/scene0009_00/depth scans/scene0009_00/color scans/scene0009_00/label-filt scans/scene0009_00/pose scans/scene0009_00/intrinsic
scans/scene0302_00/depth scans/scene0302_00/color scans/scene0302_00/label-filt scans/scene0302_00/pose scans/scene0302_00/intrinsic
scans/scene0209_00/depth scans/scene0209_00/color scans/scene0209_00/label-filt scans/scene0209_00/pose scans/scene0209_00/intrinsic
scans/scene0210_00/depth scans/scene0210_00/color scans/scene0210_00/label-filt scans/scene0210_00/pose scans/scene0210_00/intrinsic
scans/scene0395_00/depth scans/scene0395_00/color scans/scene0395_00/label-filt scans/scene0395_00/pose scans/scene0395_00/intrinsic
scans/scene0683_00/depth scans/scene0683_00/color scans/scene0683_00/label-filt scans/scene0683_00/pose scans/scene0683_00/intrinsic
scans/scene0601_00/depth scans/scene0601_00/color scans/scene0601_00/label-filt scans/scene0601_00/pose scans/scene0601_00/intrinsic
scans/scene0214_00/depth scans/scene0214_00/color scans/scene0214_00/label-filt scans/scene0214_00/pose scans/scene0214_00/intrinsic
